Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Egghead,"The Egg > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734840/egghead,3.5,-1,Sport,"5.11b PG13",1,60,37.88573,-122.62965
"Amazing Face","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734633/amazing-face,3.2,-1,Sport,5.10a,1,90,37.8471,-121.9258
"Donkey Dong","Indian Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734711/donkey-dong,3.2,-1,"Sport, TR",5.11+,1,30,37.2319,-122.0934
"The Great Roof","Goat Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734687/the-great-roof,3.2,-1,TR,5.10b,1,80,37.2282,-122.1079
"Bolt Route","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734630/bolt-route,3.2,-1,Sport,5.11b/c,1,70,37.8471,-121.9258
"Center Overhang (aka Pitfall)","The Pit (West Side) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734705/center-overhang-aka-pitfall,3.2,-1,"TR, Boulder","5.11 V3 R",1,20,37.89229,-122.27309
Rampage,"The Bear > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/106155983/rampage,3.1,-1,Sport,5.10c,1,60,38.652,-122.61094
"The Ladder","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734861/the-ladder,3.1,-1,"Sport, TR",5.10d,1,70,38.65093,-122.61322
"Sign Language","The Egg > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734828/sign-language,3.4,-1,Sport,5.11-,1,70,37.88573,-122.62965
Mullah,"California Ridge > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106388657/mullah,3.1,-1,Sport,5.10a,1,50,37.2261,-122.0991
"Old Ladder Route","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735071/old-ladder-route,3.0,-1,"Sport, TR",5.10a/b,1,70,38.65093,-122.61322
"Ozone (a.k.a.) The Arch","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734696/ozone-aka-the-arch,3.0,-1,"Trad, TR",5.10c,1,55,37.8471,-121.9258
"Solar Power","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734651/solar-power,2.9,-1,Sport,5.10c/d,1,40,38.65093,-122.61322
"The Falls","Waterfall Cliff > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736052/the-falls,2.9,-1,Sport,"5.10+ R",1,110,37.2265,-122.1053
"Mystery Hole","Shute-Mills Area > The Far Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734759/mystery-hole,3.0,-1,"Sport, TR",5.10a,1,40,38.65134,-122.61858
"Silverado Squatters","The Bear > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105798411/silverado-squatters,2.8,-1,Sport,5.10b,1,60,38.652,-122.61094
"Ticks ripped my flesh","Lyme Disease Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106321707/ticks-ripped-my-flesh,3.0,-1,Sport,5.10b,1,50,37.22673,-122.09199
"Hailstone Arete","Hailstone Rock > Satellite Rocks > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/108644963/hailstone-arete,3.3,-1,Sport,5.9,1,80,38.65311,-122.61376
"The West Arete","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734654/the-west-arete,2.8,-1,Sport,5.10c/d,1,50,38.65093,-122.61322
"Up The Poop Chute","Underworld Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735377/up-the-poop-chute,3.0,-1,Sport,5.10d,1,60,37.2257,-122.0984
"Peg Leg","Shipwreck Wall > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735395/peg-leg,3.3,-1,"Sport, TR",5.10a,1,50,38.59566,-123.34933
"Tall Man Simplex","Shady Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108198020/tall-man-simplex,3.0,-1,Sport,5.10c,1,35,37.22654,-122.10116
"Beast of Burden","The Bear > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735728/beast-of-burden,3.3,-1,Sport,5.11c,1,50,38.652,-122.61094
Evolution,"The Rock of Ages > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105872202/evolution,3.0,-1,Sport,5.10b,1,155,37.88057,-121.98549
Abracadabra,"Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/118050260/abracadabra,3.2,-1,Sport,5.10a,1,90,38.65119,-122.61473
"Key-Slapping Slipperd","Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121452998/key-slapping-slipperd,3.0,-1,Sport,5.11b,1,40,37.87717,-122.61789
"Effervescent [HISTORIC]","Kimbuktu Tower > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121380146/effervescent-historic,2.9,-1,Sport,5.10a/b,1,21,37.87734,-122.61819
"Baby Fat","The Globule > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105734720/baby-fat,2.9,-1,"Sport, TR","5.11a R",1,40,37.23197,-122.09339
"Bolly Boo Ball","Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121603956/bolly-boo-ball,2.9,-1,Sport,5.10a/b,1,45,37.87717,-122.61789
"Redneck Rampage","Terra Dome > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117838277/redneck-rampage,3.8,-1,"Sport, TR",5.10d,1,75,37.88297,-121.99221
Mogolef,"Motown > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121456890/mogolef,3.3,-1,Sport,5.11c,1,65,37.87891,-122.61922
Boromir,"Mammoth Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111268805/boromir,3.6,-1,Sport,5.11a,1,90,37.88029,-121.98765
Kola,"Kola Spire > The Far Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735548/kola,2.9,-1,Sport,5.9,1,50,38.65153,-122.61885
"Quilligan (aka Friendly)","Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121605391/quilligan-aka-friendly,2.9,-1,Sport,5.10a,1,40,37.87717,-122.61789
"Money Shot","Terra Dome > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117838210/money-shot,3.3,-1,"Sport, TR",5.10c,1,80,37.88297,-121.99221
"Live Monkey Brain","Last Temptation Cliff > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/106741755/live-monkey-brain,3.1,-1,"Sport, TR",5.11a,1,50,37.22789,-122.10573
"The Bronze Hog","Vent #5 > Vent 5 > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/122307036/the-bronze-hog,3.4,-1,Sport,5.11b/c,1,65,37.87717,-122.61789
"Captain Hook","The Treasure Chest > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735392/captain-hook,3.6,-1,"Sport, TR","5.10 R",1,40,38.59556,-123.34938
"Baby Driver","Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/118068473/baby-driver,3.4,-1,Sport,5.10d,1,70,38.65119,-122.61473
"b. boy bypass","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/116160039/b-boy-bypass,3.3,-1,Sport,5.10c,1,80,38.65093,-122.61322
"Lost at Sea","Shipwreck Wall > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735398/lost-at-sea,2.8,-1,"Sport, TR",5.11a,1,50,38.59566,-123.34933
"Aloha Patrol","3 - Iron Curtain > Table Rock > The Palisades > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/107828963/aloha-patrol,2.9,-1,Sport,5.11b,4,300,38.64291,-122.58268
"Go I Know Not Whither and Bring Back I Know Not What","Last Temptation Cliff > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/105736402/go-i-know-not-whither-and-bring-back-i-know-not-what,3.0,-1,Trad,5.10c,1,60,37.22789,-122.10573
"Tiny Dancer","Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/118050296/tiny-dancer,3.3,-1,Sport,5.10c,1,60,38.65119,-122.61473
Pipeline,"Near Side > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/120889054/pipeline,3.3,-1,Sport,5.10a,1,70,38.65052,-122.6063
"3 Blind Mice Left","Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/118043287/3-blind-mice-left,2.8,-1,Sport,5.7,1,70,38.65119,-122.61473
"Cave route","Indian Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/114781169/cave-route,3.0,-1,TR,5.7,1,30,37.2319,-122.0934
Coronor,"Hailstone Rock > Satellite Rocks > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/108644976/coronor,3.0,-1,Sport,5.10b,1,75,38.65311,-122.61376
"Close Encounters (of the bird kind)","Hailstone Rock > Satellite Rocks > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/108645066/close-encounters-of-the-bird-kind,3.2,-1,Sport,5.10d,1,80,38.65311,-122.61376
"The Quarry","Flintstone Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/107628332/the-quarry,3.0,-1,"Sport, TR",5.10c,1,80,37.88124,-121.98656
"Between Showers","Lower Guadalupe Rock > Hicks Road > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119110605/between-showers,4.0,-1,TR,5.10b,1,50,37.1864,-121.8718
"The Way of the Road","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/116159623/the-way-of-the-road,4.0,-1,Sport,5.11b,1,80,38.65093,-122.61322
"Killer Crack","Ram Rock > Sunset Boulders > Goat Rock > Sonoma Coast State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735986/killer-crack,3.0,-1,"TR, Boulder","5.11a/b V2- R",1,30,38.42937,-123.11571
Swashbuckler,"South Face of Sentinel Rock > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/105735452/swashbuckler,4.0,-1,Sport,5.11a,1,40,38.59535,-123.34927
Mogoright,"Motown > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121457249/mogoright,2.9,-1,Sport,5.11a,1,70,37.87891,-122.61922
Proboscis,"Mammoth Rock > Pine Canyon > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/111170392/proboscis,3.0,-1,Sport,"5.10c PG13",2,,37.88029,-121.98765
"Excusez Moi","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/116517374/excusez-moi,4.0,-1,Sport,5.11,1,60,38.65093,-122.61322
"Micro Aggression","Kim's gym (aka Kym's Gym) > Mickey's Beach > Marin/Northwest Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/122555065/micro-aggression,3.4,-1,Sport,5.10a,1,90,37.88,-122.62242
I-11,"Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/120373200/i-11,4.0,-1,TR,"5.11- R",1,,37.8923,-122.27302
"Capitan Cornburglar","The Treasure Chest > Salt Point State Park > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/114615592/capitan-cornburglar,4.0,-1,Sport,5.11c,1,45,38.59556,-123.34938
Utopia,"Macondo Cliff > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/111841178/utopia,4.0,-1,Sport,5.10b,1,85,38.65407,-122.61897
"The Beast","The Bear > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/106165012/the-beast,3.5,-1,Trad,5.11c,1,50,38.652,-122.61094
"Big Buddy","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/117699968/big-buddy,3.3,-1,Sport,"5.11+ PG13",1,80,38.65093,-122.61322
I-13,"Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/120745058/i-13,4.0,-1,TR,"5.11- R",1,45,37.8923,-122.27302
Dreamweaver,"Mossy Rock > Angwin > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/106904263/dreamweaver,4.0,-1,"TR, Boulder","5.10d V0+ R",1,20,38.577,-122.42198
"Lure of Lucre","Bell Canyon > Angwin > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/106905423/lure-of-lucre,4.0,-1,Sport,5.10a,1,40,38.5684,-122.4406
I-12,"Upper Indian Rock(I-block) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/118662532/i-12,3.8,-1,TR,"5.11- R",1,,37.8923,-122.27302
"Little Buddy","The Bubble > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/114614207/little-buddy,3.1,-1,Sport,5.11a,1,80,38.65093,-122.61322
"Cummed On","Billy Goat Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/108013272/cummed-on,2.9,-1,Sport,5.11b/c,1,40,37.22841,-122.10737
"Calistoga Rodeo","Blind Man's Bluff > Blind Man's Bluff Area > Mount St. Helena > Wine Country/Northeast Bay > San Francisco Bay Area > California",https://www.mountainproject.com/route/118079436/calistoga-rodeo,3.4,-1,Sport,5.11b,1,70,38.65119,-122.61473
"The Yodel King","Goat Rock > Castle Rock Area > South Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/117907056/the-yodel-king,3.7,-1,TR,5.11+,1,80,37.2282,-122.1079
"Old Dino/Miwok","Lower Tier > Boy Scout Rocks > Mount Diablo State Park > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/121055599/old-dinomiwok,3.2,-1,Sport,5.11,1,80,37.8471,-121.9258
"Beginners Crack","The Pit (West Side) > Indian Rock Park > Berkeley > East Bay Area > San Francisco Bay Area > California",https://www.mountainproject.com/route/119146185/beginners-crack,2.8,-1,"TR, Boulder","5.7 V0",1,30,37.89229,-122.27309
